epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.0571,2.13567,3.44749,1.55308,0.7958,0.09145,0.06427,0.03299,1.93967,2.54836,1.46058,0.000184337,0.000184337,0.000184337
2,167.533,1.89871,2.3882,1.41121,0.73305,0.12408,0.08707,0.04678,1.80332,2.21197,1.36776,0.000351372,0.000351372,0.000351372
3,239.349,1.81466,2.17339,1.37272,0.67982,0.14161,0.09976,0.05265,1.76258,2.12539,1.35262,0.000500058,0.000500058,0.000500058
4,315.876,1.76444,2.10234,1.36116,0.71795,0.17788,0.14444,0.08299,1.68914,2.06166,1.3325,0.000473434,0.000473434,0.000473434
5,422.367,1.72229,2.01517,1.32853,0.68318,0.16291,0.14479,0.08671,1.68073,2.02322,1.33176,0.000445912,0.000445912,0.000445912
6,750.081,1.6658,1.94937,1.31262,0.69523,0.15796,0.17156,0.10533,1.65486,1.93596,1.32437,0.00041839,0.00041839,0.00041839
7,840.029,1.62692,1.8919,1.28644,0.6225,0.17637,0.18321,0.11147,1.60875,1.92015,1.29023,0.000390868,0.000390868,0.000390868
8,901.521,1.61653,1.88053,1.29388,0.54907,0.20578,0.18363,0.11233,1.58395,1.88374,1.27284,0.000363346,0.000363346,0.000363346
9,976.86,1.62128,1.84747,1.2805,0.59097,0.20734,0.19984,0.1191,1.5957,1.85166,1.29022,0.000335824,0.000335824,0.000335824
10,1050.32,1.56238,1.8127,1.25666,0.59847,0.21794,0.20525,0.12639,1.58009,1.81346,1.27248,0.000308302,0.000308302,0.000308302
11,1176.13,1.59407,1.9342,1.2814,0.57268,0.20041,0.21086,0.12613,1.57847,1.8899,1.26574,0.00028078,0.00028078,0.00028078
12,1244.14,1.55816,1.84931,1.26986,0.55802,0.2301,0.21946,0.13618,1.56517,1.83511,1.27022,0.000253258,0.000253258,0.000253258
13,1311.59,1.54483,1.83541,1.27256,0.52062,0.23289,0.23725,0.14759,1.54367,1.79915,1.25244,0.000225736,0.000225736,0.000225736
14,1535.1,1.52044,1.80112,1.25229,0.6515,0.22777,0.23395,0.14611,1.54207,1.79906,1.25828,0.000198214,0.000198214,0.000198214
15,1600.8,1.50533,1.75955,1.24669,0.66754,0.21943,0.23709,0.15361,1.50485,1.74556,1.25025,0.000170692,0.000170692,0.000170692
16,1666.35,1.47676,1.72087,1.22752,0.5855,0.22723,0.23716,0.15391,1.51386,1.7547,1.25225,0.00014317,0.00014317,0.00014317
17,1732.7,1.47186,1.69501,1.22864,0.6421,0.23053,0.23612,0.15548,1.4927,1.76972,1.24841,0.000115648,0.000115648,0.000115648
18,1797.85,1.46013,1.68727,1.20837,0.62449,0.21853,0.25483,0.17728,1.48618,1.74883,1.24707,8.8126e-05,8.8126e-05,8.8126e-05
19,1862.78,1.43446,1.65036,1.20403,0.66401,0.21537,0.26495,0.1817,1.48458,1.7329,1.23835,6.0604e-05,6.0604e-05,6.0604e-05
20,1928.47,1.4344,1.64189,1.20689,0.65871,0.21218,0.27148,0.18598,1.47966,1.71923,1.2395,3.3082e-05,3.3082e-05,3.3082e-05
